"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"CM0170","2020-02-08 00:00:00","106.000","0.000","0.200","14.500","0.990","1010.500","","0.000","-99.000","-99.000","-99.000","23.800","","14.100",""
"C0B020","2020-02-08 00:00:00","86.000","11.000","7.000","15.900","0.760","1013.200","","1.500","12.500","7.000","","17.100","","15.200",""
"C0I390","2020-02-08 00:00:00","1184.000","88.000","1.800","11.500","0.970","891.600","","0.000","-99.000","-99.000","-99.000","21.800","","11.500",""
"C0T9D0","2020-02-08 00:00:00","7.000","343.000","0.300","17.800","0.780","1022.700","","0.000","-99.000","-99.000","-99.000","24.800","","15.800",""
"C0E520","2020-02-08 00:00:00","320.000","281.000","1.200","13.800","0.930","986.300","","0.000","-99.000","-99.000","-99.000","19.400","","12.800",""
"C0C460","2020-02-08 00:00:00","482.000","0.000","0.000","12.400","0.940","969.300","","8.500","-99.000","-99.000","-99.000","15.500","","12.000",""
"C0AI40","2020-02-08 00:00:00","37.000","18.000","2.000","16.800","0.690","1021.100","","1.500","-99.000","-99.000","-99.000","18.500","","15.700",""
"C0S790","2020-02-08 00:00:00","236.000","14.000","1.100","17.000","0.990","996.600","","14.000","-99.000","-99.000","-99.000","28.000","","16.900",""
"C0M740","2020-02-08 00:00:00","15.000","22.000","2.000","15.500","0.850","1019.500","","0.000","-99.000","-99.000","-99.000","22.800","","15.200",""
"C0SA10","2020-02-08 00:00:00","411.000","323.000","1.500","16.100","0.990","975.600","","0.000","-99.000","-99.000","-99.000","27.100","","16.100",""
"C0C660","2020-02-08 00:00:00","176.000","34.000","4.900","14.300","0.850","1004.100","","9.500","-99.000","-99.000","-99.000","15.600","","12.800",""
"C0R620","2020-02-08 00:00:00","34.000","37.000","4.800","21.600","0.890","1017.300","","5.000","11.100","32.000","","26.600","","21.100",""
"C0R700","2020-02-08 00:00:00","19.000","332.000","1.000","18.800","0.880","1019.000","","0.000","-99.000","-99.000","-99.000","25.300","","18.000",""
"C0F0B0","2020-02-08 00:00:00","311.000","105.000","2.500","14.000","0.900","985.700","","0.000","-99.000","-99.000","-99.000","21.700","","13.700",""
"C0O970","2020-02-08 00:00:00","71.000","351.000","0.800","15.000","0.920","1013.800","","0.000","-99.000","-99.000","-99.000","25.400","","14.800",""
"C0F9P0","2020-02-08 00:00:00","26.000","35.000","5.800","16.100","0.840","1020.000","","0.000","13.100","25.000","","19.000","","14.500",""
"C0R560","2020-02-08 00:00:00","22.000","317.000","2.000","16.700","0.860","1018.900","","0.000","-99.000","-99.000","-99.000","25.900","","16.500",""
"C0X220","2020-02-08 00:00:00","26.000","37.000","4.800","15.300","0.830","1018.600","","0.000","-99.000","-99.000","-99.000","22.700","","15.300",""
"C0M680","2020-02-08 00:00:00","37.000","356.000","1.200","15.700","0.860","1019.200","","0.000","-99.000","-99.000","-99.000","23.900","","15.500",""
"C0S710","2020-02-08 00:00:00","382.000","17.000","2.400","15.300","1.000","979.600","","0.500","-99.000","-99.000","-99.000","23.400","","14.100",""
"C0F9T0","2020-02-08 00:00:00","111.000","359.000","2.100","15.700","0.850","1008.100","","0.000","-99.000","-99.000","-99.000","20.700","","14.300",""
